"Date","Obs_2_1","Obs_2_2","Obs_2_3","Obs_2_4","Obs_2_5","Obs_2_6","Obs_2_7","Obs_2_8","Obs_2_9","Obs_2_10","Obs_2_11","Obs_2_12","Obs_2_13","Obs_2_14","Obs_2_15","Obs_2_16"
2009-11-08,0.7572579,NA,1.257881125,NA,1.1625,1.24409716666667,1.38083333333333,3.89247391666667,2.64881945833333,5.67986104166667,NA,6.502789,8.51722220833333,19.9619456666667,28.7930558333333,71.615625
2009-11-09,0.746744241666667,NA,1.24190708333333,NA,1.113333375,1.324583375,1.39729166666667,3.62258583333333,2.641875,5.740694375,NA,6.381418,8.76340279166667,23.5312508333333,38.34236125,84.6200733333333
2009-11-10,0.7101082,NA,1.209269416625,NA,1.01333333333333,1.24076391666667,1.36652777770833,3.22388888888889,2.64,5.77500004166667,NA,6.39252095833333,8.660416625,23.0437491666667,41.0951383333333,83.0717370833333
2009-11-11,0.654039208333333,NA,1.19276708333333,NA,0.984444445833333,1.20319441666667,1.12972222225,3.31722222222222,2.550763875,5.44458345833333,NA,6.32138779166667,8.39909720833333,19.8236104166667,32.8611116666667,77.2733354166667
2009-11-12,0.704867895833333,NA,1.171803375,NA,0.933263895833333,1.19215279166667,1.08881944445833,3.23166666666667,2.44694445833333,5.14458333333333,NA,6.04124704166667,8.14340279166667,18.5277779166667,32.1124991666667,73.02757
2009-11-13,0.711159545833333,NA,1.17594329166667,NA,0.957222220833333,1.33508519444444,1.23090277783333,3.36583333333333,2.47,5.37861116666667,NA,6.36641045833333,8.23277775,21.7409720833333,30.60138875,74.4670833333333
2009-11-14,0.6990284,NA,1.176084875,NA,0.944999995833333,1.41771608333333,1.29027777775,3.27833333333333,2.47,5.55347216666667,NA,6.28136770833333,7.96402779166667,19.6034725,26.00486125,60.7465975
2009-11-15,0.6990284,NA,1.16174125,NA,0.922222220833333,1.42017616666667,1.31020833333333,3.31333333333333,2.47,5.487639,NA,6.35140291666667,7.93854166666667,21.9291666666667,25.4277775,57.2353470833333
2009-11-16,0.71399015,NA,1.139199388875,NA,0.974444445833333,1.48209325,1.38034722229167,3.40666666666667,2.47,5.64944441666667,NA,6.3764155,8.22972220833333,19.9645829166667,32.08611125,75.651875
2009-11-17,0.716012008333333,NA,1.14596895833333,NA,0.961666675,1.49484033333333,1.50020833329167,3.31333333333333,2.47944445833333,6.07569454166667,NA,6.336395375,8.20347220833333,20.0187508333333,25.2708329166667,70.16625
2009-11-18,0.711563916666667,NA,1.125661111125,NA,0.9261111125,1.43074070833333,1.53138888883333,3.15194444444444,2.58125,6.27333333333333,NA,6.326390375,8.24368054166667,28.0916670833333,25.8611116666667,67.4261979166667
2009-11-19,0.690016775,NA,1.12659865279167,NA,0.898819441666667,1.41579404166667,1.483819444375,3.18305555555556,2.505,5.88131941666667,NA,6.28637025,8.126111125,21.67013875,28.7451391666667,76.8500004166667
2009-11-20,0.679584054166667,NA,1.11105684720833,NA,0.836180541666667,1.43194104166667,1.43819444441667,3.3675,2.47,5.73965283333333,NA,5.71108116666667,8.1288195,19.5506958333333,30.37083375,71.13479
2009-11-21,0.664714845833333,NA,1.10779654166667,NA,0.701527779166667,1.37053366666667,1.41868055554167,3.07236111111111,2.47,5.690138875,NA,5.661056,7.65194445833333,17.54513875,26.4145829166667,62.9779166666667
2009-11-22,0.653658245833333,NA,1.10093720833333,NA,0.7,1.37039475,1.39854166666667,3.00375,2.418125,5.62534729166667,NA,5.6564475,7.50562504166667,15.9965275,24.2944445833333,62.6215275
2009-11-23,0.641949233333333,NA,1.09870169445833,NA,0.6975,1.442680125,1.3780555555,3.15,2.379513875,5.59027775,NA,5.66145,7.874930625,20.938195,32.3611116666667,74.649375
2009-11-24,0.643762895833333,NA,1.078815,NA,0.7,1.37757045833333,1.350277777875,2.98388888888889,2.38,5.53020833333333,NA,5.661056,7.69215279166667,19.5645833333333,30.3270833333333,69.8110416666667
2009-11-25,0.637804725,NA,1.07232729166667,NA,0.647916666666667,1.34713558333333,1.32798611108333,2.90083333333333,2.353888875,5.46666670833333,NA,5.651839,7.73083333333333,19.2826391666667,25.11736125,64.82007
2009-11-26,0.632121191666667,NA,1.06058866666667,NA,0.65,1.33642041666667,1.31881944445833,2.91166666666667,2.3,5.407013875,NA,5.66145,7.651736125,20.3395820833333,28.4881941666667,65.5779866666667
2009-11-27,0.63903345,NA,1.05885454166667,NA,0.688055554166667,1.35698329166667,1.30118055554167,3.05972222222222,2.3,5.40569445833333,NA,5.642622,7.75458329166667,20.8888891666667,30.0159725,67.85608125
2009-11-28,0.608710533333333,NA,1.05268720833333,NA,0.732777779166667,1.315602875,1.282638888875,2.89,2.3,5.356875,NA,5.61036233333333,7.31979166666667,16.3701395833333,23.52638875,56.42
2009-11-29,0.592842241666667,NA,1.03636870833333,NA,0.695416666666667,1.31685225,1.24361111116667,2.89,2.313888875,5.21013891666667,NA,5.499758,7.159375,15.2472225,23.7875,54.04798625
2009-11-30,0.399405816666667,NA,1.57705158333333,NA,0.701248945833333,2.16796533333333,5.75111111125,3.04166666666667,4.07402775,12.7834726666667,NA,6.66618929166667,9.585763625,31.7034720833333,55.6250004166667,103.564246666667
2009-12-01,0.563239979166667,NA,1.56383033333333,NA,0.701354275,2.11512254166667,5.07770833333333,3.06875,3.50284720833333,14.507569875,NA,6.3443555,9.91645816666667,46.23194375,59.5798608333333,163.0400625
2009-12-02,0.732994808333333,NA,1.21911033333333,NA,0.723127479166667,1.65007419444444,2.50840277766667,2.90083333333333,2.89625,7.88756945833333,NA,5.64262195833333,8.208611125,25.2076391666667,37.8048616666667,99.1165304166667
2009-12-03,0.718842604166667,NA,1.12788159725,NA,0.680972220833333,1.48764183333333,1.88506944441667,2.75423611111111,2.64909720833333,6.14555558333333,NA,5.30620041666667,7.60472225,26.61527875,34.400695,92.3136766666667
2009-12-04,0.730120691666667,NA,1.13553104166667,NA,0.615972220833333,1.494023125,1.74854166666667,2.49069444444444,2.60770833333333,5.87340270833333,NA,5.40297925,7.77159725,21.443055,31.56041625,82.2307625
2009-12-05,0.634667804166667,NA,1.12224752779167,NA,0.621527775,1.46969079166667,1.65194444441667,2.44756944444444,2.47,5.70062504166667,NA,5.45828141666667,7.404375,22.7333329166667,32.5500008333333,76.6516420833333
2009-12-06,0.595377041666667,NA,1.09246569445833,NA,0.589930554166667,1.467758125,1.567361111125,2.43,2.51333333333333,5.61215279166667,NA,5.05734066666667,7.24104166666667,23.0076391666667,29.3506945833333,68.373125
2009-12-07,0.591739,NA,1.07857636108333,NA,0.579236116666667,1.494876,1.61430555554167,2.43,2.46888891666667,5.63041666666667,NA,5.296983375,7.51479166666667,24.9763895833333,30.8402770833333,75.3379866666667
2009-12-08,0.5875153,NA,1.098535875,NA,0.610347225,1.41575454166667,1.59334722216667,2.47152777777778,2.503263875,5.74909720833333,NA,5.52003454166667,7.564375,23.611805,28.0131945833333,74.4347220833333
2009-12-09,0.580415416666667,NA,1.045491125,NA,0.569166666666667,1.43950258333333,1.50499999995833,2.42236111111111,2.38125,5.18743058333333,NA,5.125406375,7.32493058333333,21.9951391666667,30.27986125,75.2053470833333
2009-12-10,0.591739,NA,1.02748326666667,NA,0.545069445833333,1.34197204166667,1.39819444445833,2.43,2.31534720833333,4.88777779166667,NA,5.09304916666667,7.29006945833333,26.2111108333333,37.5423604166667,79.3380583333333
2009-12-11,0.580123825,NA,1.02756945833333,NA,0.51375,1.40141625,1.42298611116667,2.43,2.30333333333333,4.76513879166667,NA,5.22785570833333,7.27180554166667,18.2986108333333,36.6465275,87.1361125
2009-12-12,0.5410546,NA,0.9949976625,NA,0.51,1.361392875,1.25805555558333,2.43,2.23833333333333,4.42597225,NA,4.99743,6.83979166666667,15.7312495833333,30.7951395833333,66.35284625
2009-12-13,0.538662408333333,NA,0.963854183333333,NA,0.489166666666667,1.33659975,1.215208333375,2.37194444444444,2.15777783333333,4.31104166666667,NA,4.99314225,6.69444445833333,17.47361125,23.2666666666667,55.1820833333333
2009-12-14,0.521917066666667,NA,0.899455243041667,NA,0.456813608333333,1.275145125,1.156875,2.24361111111111,2.03548608333333,4.09298608333333,NA,4.44037675,6.57548608333333,19.6249991666667,38.7166666666667,74.89045125
2009-12-15,0.585302391666667,NA,0.863904466666667,NA,0.447508525,1.16289661666667,1.17963888891667,2.15027777777778,1.70097225,3.65152779166667,NA,5.03364966666667,6.250625,14.8736108333333,38.3909725,73.9129175
2009-12-16,0.5741287875,NA,0.872908041666667,NA,0.444895779166667,1.216228875,1.21079166666667,2.13361111111111,1.58770833333333,3.60777779166667,NA,6.86574354166667,6.13319441666667,17.0458333333333,35.6138895833333,67.9881625
2009-12-17,0.5595419125,NA,0.858894308333333,NA,0.4422807125,1.38758966666667,1.24909722220833,2.21,1.56340275,3.36291666666667,NA,9.79901183333333,6.57986108333333,15.075,39.9423616666667,70.6316270833333
2009-12-18,0.5447374125,NA,0.981685570833333,NA,0.439664733333333,1.60816983333333,1.47743055554167,2.21,1.53715279166667,4.395,NA,16.62019,7.94451375,15.9829864166667,30.8875,61.0062075
2009-12-19,0.5295290125,NA,0.864519108333333,NA,0.4370493875,1.00728511666667,1.22798611108333,2.21,1.499375,3.65465275,NA,31.5800079166667,12.1496529166667,15.1965279166667,27.4750008333333,53.6895833333333
2009-12-20,0.517830183333333,NA,1.15344050833333,NA,0.434436079166667,1.827528625,1.36937499995833,2.21,1.45125,4.863125,NA,31.4529879166667,17.4861116666667,16.3809027916667,22.5125,46.05263875
2009-12-21,0.5062049125,NA,0.866126716666667,NA,0.431826295833333,1.11381144166667,1.291736111125,2.21,1.4775,3.74944441666667,NA,32.3069691666667,24.0694445833333,24.7833333333333,32.6347220833333,61.6808320833333
2009-12-22,0.503009970833333,NA,0.863220933333333,NA,0.42922145,1.043312975,1.202361111125,2.24513888888889,1.65333333333333,4.232777875,NA,28.5377804166667,17.9404852916667,13.4062508333333,24.4298604166667,55.6310420833333
